ride_id,rideable_type,started_at,ended_at,ride_length,day_of_week,start_station_name,end_station_name,member_casual
21745012,classic_bike,2019-01-02 7:51:39,2019-01-02 8:05:24,0:13:45,4,Stetson Ave & South Water St,Larrabee St & Kingsbury St,NA
21745013,classic_bike,2019-01-02 7:51:46,2019-01-02 7:59:50,0:08:04,4,Kingsbury St & Erie St,Canal St & Monroe St (*),NA
21745014,classic_bike,2019-01-02 7:51:43,2019-01-02 7:54:19,0:02:36,4,Sheridan Rd & Greenleaf Ave,Glenwood Ave & Morse Ave,NA
21745015,classic_bike,2019-01-02 7:51:47,2019-01-02 7:56:02,0:04:15,4,Benson Ave & Church St,University Library (NU),NA
21745016,classic_bike,2019-01-02 7:51:52,2019-01-02 7:55:00,0:03:08,4,Clark St & Montrose Ave,Wolcott (Ravenswood) Ave & Montrose Ave (*),NA
21745017,classic_bike,2019-01-02 7:51:47,2019-01-02 7:54:25,0:02:38,4,Sheridan Rd & Greenleaf Ave,Glenwood Ave & Morse Ave,NA
21745018,classic_bike,2019-01-02 7:51:57,2019-01-02 7:54:48,0:02:51,4,Columbus Dr & Randolph St,State St & Randolph St,NA
21745020,classic_bike,2019-01-02 7:52:13,2019-01-02 7:56:08,0:03:55,4,Franklin St & Jackson Blvd,State St & Van Buren St,NA
21745021,classic_bike,2019-01-02 7:52:28,2019-01-02 7:55:34,0:03:06,4,Dearborn St & Adams St,Franklin St & Monroe St,NA
21745022,classic_bike,2019-01-02 7:51:57,2019-01-02 7:58:19,0:06:22,4,Eckhart Park,Marshfield Ave & Cortland St,NA
21745023,classic_bike,2019-01-02 7:52:34,2019-01-02 8:15:51,0:23:17,4,Shields Ave & 31st St,Wabash Ave & Adams St,NA
21745024,classic_bike,2019-01-02 7:52:36,2019-01-02 8:15:59,0:23:23,4,Lake Shore Dr & Wellington Ave,McClurg Ct & Erie St,NA
21745025,classic_bike,2019-01-02 7:52:42,2019-01-02 8:02:46,0:10:04,4,Clark St & Ida B Wells Dr,Dearborn St & Erie St,NA
21745026,classic_bike,2019-01-02 7:52:49,2019-01-02 8:00:33,0:07:44,4,Desplaines St & Kinzie St,Rush St & Hubbard St,NA
21745027,classic_bike,2019-01-02 7:52:49,2019-01-02 8:07:09,0:14:20,4,Canal St & Madison St,Larrabee St & Kingsbury St,NA
21745028,classic_bike,2019-01-02 7:52:50,2019-01-02 8:02:09,0:09:19,4,Aberdeen St & Jackson Blvd,Canal St & Monroe St (*),NA
21745029,classic_bike,2019-01-02 7:52:49,2019-01-02 8:12:00,0:19:11,4,Lakeview Ave & Fullerton Pkwy,Ravenswood Ave & Berteau Ave,NA
21745030,classic_bike,2019-01-02 7:52:51,2019-01-02 8:07:32,0:14:41,4,Clinton St & Washington Blvd,McClurg Ct & Erie St,NA
21745031,classic_bike,2019-01-02 7:52:52,2019-01-02 7:59:00,0:06:08,4,Canal St & Madison St,Michigan Ave & Washington St,NA
21745032,classic_bike,2019-01-02 7:52:53,2019-01-02 7:56:45,0:03:52,4,Desplaines St & Kinzie St,Clinton St & Washington Blvd,NA
21745033,classic_bike,2019-01-02 7:52:59,2019-01-02 8:04:31,0:11:32,4,Columbus Dr & Randolph St,Canal St & Monroe St (*),NA
21745034,classic_bike,2019-01-02 7:53:00,2019-01-02 8:08:29,0:15:29,4,Sheffield Ave & Webster Ave,State St & Pearson St,NA
21745037,classic_bike,2019-01-02 7:53:19,2019-01-02 8:07:43,0:14:24,4,Wells St & Elm St,LaSalle St & Jackson Blvd,NA
21745038,classic_bike,2019-01-02 7:53:29,2019-01-02 8:00:44,0:07:15,4,Benson Ave & Church St,Sheridan Rd & Noyes St (NU),NA
21745039,classic_bike,2019-01-02 7:53:34,2019-01-02 8:00:59,0:07:25,4,Canal St & Adams St,Michigan Ave & Washington St,NA
21745040,classic_bike,2019-01-02 7:53:29,2019-01-02 7:58:56,0:05:27,4,Indiana Ave & Roosevelt Rd,Dearborn St & Van Buren St (*),NA
21745041,classic_bike,2019-01-02 7:53:35,2019-01-02 8:05:36,0:12:01,4,Clinton St & Madison St,Paulina St & Flournoy St,NA
21745042,classic_bike,2019-01-02 7:53:41,2019-01-02 8:18:14,0:24:33,4,Southport Ave & Clybourn Ave,Canal St & Monroe St (*),NA
21745043,classic_bike,2019-01-02 7:53:43,2019-01-02 7:58:06,0:04:23,4,Larrabee St & Menomonee St,Dayton St & North Ave,NA
21745044,classic_bike,2019-01-02 7:53:45,2019-01-02 8:17:52,0:24:07,4,Broadway & Thorndale Ave,Pine Grove Ave & Irving Park Rd,NA
21745045,classic_bike,2019-01-02 7:53:53,2019-01-02 8:02:45,0:08:52,4,Wells St & Hubbard St,Wabash Ave & Adams St,NA
21745046,classic_bike,2019-01-02 7:53:54,2019-01-02 7:59:45,0:05:51,4,Canal St & Adams St,Michigan Ave & Madison St,NA
21745048,classic_bike,2019-01-02 7:54:04,2019-01-02 8:06:21,0:12:17,4,Canal St & Monroe St (*),Dearborn St & Erie St,NA
21745050,classic_bike,2019-01-02 7:54:12,2019-01-02 8:00:56,0:06:44,4,Halsted St & Willow St,Wells St & Concord Ln,NA
21745051,classic_bike,2019-01-02 7:54:24,2019-01-02 8:05:02,0:10:38,4,Dearborn Pkwy & Delaware Pl,Clinton St & Washington Blvd,NA
21745052,classic_bike,2019-01-02 7:54:32,2019-01-02 8:10:56,0:16:24,4,Canal St & Adams St,Fairbanks St & Superior St (*),NA
21745053,classic_bike,2019-01-02 7:54:33,2019-01-02 8:02:05,0:07:32,4,Clark St & Lake St,Fairbanks St & Superior St (*),NA
21745054,classic_bike,2019-01-02 7:54:38,2019-01-02 8:06:39,0:12:01,4,Wells St & Elm St,Franklin St & Monroe St,NA
21745055,classic_bike,2019-01-02 7:54:45,2019-01-02 8:17:27,0:22:42,4,Larrabee St & Webster Ave,Franklin St & Quincy St,NA
21745056,classic_bike,2019-01-02 7:54:44,2019-01-02 7:59:51,0:05:07,4,Morgan St & Lake St,Aberdeen St & Monroe St,NA
21745059,classic_bike,2019-01-02 7:55:05,2019-01-02 8:18:07,0:23:02,4,Halsted St & Wrightwood Ave,Mies van der Rohe Way & Chestnut St,NA
21745060,classic_bike,2019-01-02 7:55:08,2019-01-02 8:00:56,0:05:48,4,Ritchie Ct & Banks St,Wells St & Concord Ln,NA
21745062,classic_bike,2019-01-02 7:55:13,2019-01-02 8:05:32,0:10:19,4,McClurg Ct & Illinois St,Dearborn St & Monroe St,NA
21745063,classic_bike,2019-01-02 7:55:14,2019-01-02 8:09:26,0:14:12,4,Ashland Ave & Grand Ave,Clinton St & Madison St,NA
